date,quantity
2021-02-01,13914654.0
2021-03-01,15660920.0
2021-04-01,15218130.0
2021-05-01,14491827.0
2021-06-01,15291945.0
2021-07-01,15468714.0
2021-08-01,14654596.0
2021-09-01,15147367.0
2021-10-01,14589732.0
2021-11-01,15166347.0
2021-12-01,15709528.0
2022-01-01,14966585.0
2022-02-01,14001276.0
2022-03-01,15453773.0
2022-04-01,14527373.0
2022-05-01,15156530.0
2022-06-01,14863468.0
2022-07-01,14624830.0
2022-08-01,14988807.0
2022-09-01,14938341.0
2022-10-01,14543787.0
2022-11-01,15160419.0
2022-12-01,15326344.0
2023-01-01,15018077.0
2023-02-01,13647929.0
2023-03-01,15737411.0
2023-04-01,14454342.0
2023-05-01,14730531.0
2023-06-01,15348006.0
2023-07-01,14917889.0
2023-08-01,15113491.0
2023-09-01,14684128.0
2023-10-01,15088692.0
2023-11-01,15564137.0
2023-12-01,15668133.0
2024-01-01,15837154.0
2024-02-01,14737918.0
2024-03-01,15156913.0
2024-04-01,15686892.0
2024-05-01,15997347.0
2024-06-01,14868982.0
2024-07-01,16074896.0
2024-08-01,15632004.0
2024-09-01,15091702.0
2024-10-01,16036950.0
2024-11-01,15576157.0
2024-12-01,15848100.0
2025-01-01,16287299.0
2025-02-01,14379673.0
2025-03-01,15528406.0
2025-04-01,15253287.0
2025-05-01,15979348.0
2025-06-01,15319620.0
2025-07-01,16191021.0
2025-08-01,15446875.0
2025-09-01,15826609.0
2025-10-01,16432010.0
2025-11-01,15191177.0
2025-12-01,16900999.0
2026-01-01,16127603.0
