date,quantity
2021-02-01,6048703.0
2021-03-01,6800913.0
2021-04-01,6432060.0
2021-05-01,6177303.0
2021-06-01,6646097.0
2021-07-01,6429498.0
2021-08-01,6300169.0
2021-09-01,6677318.0
2021-10-01,6346350.0
2021-11-01,6496769.0
2021-12-01,6954151.0
2022-01-01,6496973.0
2022-02-01,5964166.0
2022-03-01,6796978.0
2022-04-01,6257081.0
2022-05-01,6555905.0
2022-06-01,6662212.0
2022-07-01,6518530.0
2022-08-01,6727802.0
2022-09-01,6690209.0
2022-10-01,6759817.0
2022-11-01,6717219.0
2022-12-01,6675663.0
2023-01-01,6819841.0
2023-02-01,6228610.0
2023-03-01,7151526.0
2023-04-01,6256233.0
2023-05-01,6580992.0
2023-06-01,6815430.0
2023-07-01,6500734.0
2023-08-01,7017321.0
2023-09-01,6260848.0
2023-10-01,6906860.0
2023-11-01,6908292.0
2023-12-01,6858600.0
2024-01-01,7346187.0
2024-02-01,6861429.0
2024-03-01,6807774.0
2024-04-01,7276724.0
2024-05-01,7352559.0
2024-06-01,6783287.0
2024-07-01,7474130.0
2024-08-01,7020802.0
2024-09-01,6908395.0
2024-10-01,7548216.0
2024-11-01,7034236.0
2024-12-01,7242839.0
2025-01-01,7511335.0
2025-02-01,6670019.0
2025-03-01,7021887.0
2025-04-01,7167892.0
2025-05-01,7395552.0
2025-06-01,6988153.0
2025-07-01,7526086.0
2025-08-01,6754761.0
2025-09-01,7555505.0
2025-10-01,7643775.0
2025-11-01,6870591.0
2025-12-01,7643915.0
2026-01-01,7478788.0
